SEMESTER,SUBJECT,CATALOGNUMBER,LOCATION,ENROLMENTCAPACITY,ENROLMENTTOTAL,INSTRUCTORS,COMPONENTCODE
1181,CMPT    ,373,SURREY    ,48,18,William Sumner                                                                                                                                                                                                                                            ,LEC
1147,ENSC    ,120,BURNABY   ,30,30,Meenakshinathan Parameswaran                                                                                                                                                                                                                              ,LAB
1154,MSE     ,311,SURREY    ,120,108,Behraad Bahreyni                                                                                                                                                                                                                                          ,LEC
1174,MSE     ,311,SURREY    ,52,47,Behraad Bahreyni                                                                                                                                                                                                                                          ,LAB
1134,MSE     ,391,SURREY    ,33,27,Amr Marzouk                                                                                                                                                                                                                                               ,LAB
1157,MSE     ,193,SURREY    ,10,0,"Harriet Chicoine, Stephanie DeRapp                                                                                                                                                                                                                        ",SEC
1177,MSE     ,486,SURREY    ,5,2,Ahmad Rad                                                                                                                                                                                                                                                 ,SEM
1177,MSE     ,486,SURREY    ,5,1,Mohammad Narimani                                                                                                                                                                                                                                         ,SEM
1171,MSE     ,223,SURREY    ,108,94,Ghasem Behfarshad                                                                                                                                                                                                                                         ,LEC
1171,MSE     ,480,SURREY    ,90,78,Kevin Oldknow                                                                                                                                                                                                                                             ,LEC
1181,MSE     ,480,SURREY    ,86,74,Kevin Oldknow                                                                                                                                                                                                                                             ,LEC
1167,MSE     ,380,SURREY    ,105,0,Kevin Oldknow                                                                                                                                                                                                                                             ,OPL
1167,MSE     ,380,SURREY    ,105,0,Kevin Oldknow                                                                                                                                                                                                                                             ,OPL
1157,MSE     ,320,SURREY    ,43,17,Gary Wang                                                                                                                                                                                                                                                 ,LAB
1177,MSE     ,320,SURREY    ,120,94,"Kambiz Haji Hajikolaei, Krishna Vijayaraghavan                                                                                                                                                                                                            ",TUT
1177,CMPT    ,130,SURREY    ,24,23,Toby Donaldson                                                                                                                                                                                                                                            ,LAB
1127,CMPT    ,130,SURREY    ,26,26,Brian Fraser                                                                                                                                                                                                                                              ,LAB
1167,MSE     ,393,SURREY    ,25,27,Stephanie DeRapp                                                                                                                                                                                                                                          ,SEC
1167,CMPT    ,130,SURREY    ,26,23,Brian Fraser                                                                                                                                                                                                                                              ,LAB
1177,MSE     ,393,METRO     ,25,32,Stephanie DeRapp                                                                                                                                                                                                                                          ,SEC
1147,MSE     ,293,SURREY    ,25,6,Stephanie DeRapp                                                                                                                                                                                                                                          ,SEC
1164,CMPT    ,373,SURREY    ,14,16,Brian Fraser                                                                                                                                                                                                                                              ,TUT
1124,CMPT    ,431,BURNABY   ,55,39,Alexandra Fedorova                                                                                                                                                                                                                                        ,LEC
1137,CMPT    ,468,SURREY    ,39,22,Tamara Smyth                                                                                                                                                                                                                                              ,LEC
1084,IAT     ,488,SURREY    ,1,1,Stephen Dipaola                                                                                                                                                                                                                                           ,SEC
1141,DDP     ,210,OFF       ,30,5,Ze-Nian Li                                                                                                                                                                                                                                                ,SEC
1087,MATH    ,708,SURREY    ,10,4,Tamon Stephen                                                                                                                                                                                                                                             ,LEC
1157,MATH    ,742,BURNABY   ,10,1,Petr Lisonek                                                                                                                                                                                                                                              ,LEC
1127,ENSC    ,231,SURREY    ,35,35,". TBD, Woo Soo Kim                                                                                                                                                                                                                                        ",LAB
1117,ENSC    ,281,SURREY    ,47,48,Woo Soo Kim                                                                                                                                                                                                                                               ,LAB
1131,ENSC    ,283,SURREY    ,115,111,". TBD, Peyman Taheri Bonab                                                                                                                                                                                                                                ",LEC
1151,MSE     ,480,SURREY    ,37,36,Kevin Oldknow                                                                                                                                                                                                                                             ,LAB
1154,MSE     ,490,SURREY    ,22,12,Jiacheng Wang                                                                                                                                                                                                                                             ,LAB
1171,MSE     ,494,SURREY    ,10,11,Stephanie DeRapp                                                                                                                                                                                                                                          ,SEC
1157,MSE     ,110,SURREY    ,30,0,. TBD                                                                                                                                                                                                                                                     ,LAB
1161,MSE     ,110,SURREY    ,30,0,Amr Marzouk                                                                                                                                                                                                                                               ,OPL
1181,MSE     ,110,SURREY    ,0,0,Mohammad Narimani                                                                                                                                                                                                                                         ,OPL
1161,MSE     ,110,SURREY    ,30,0,Amr Marzouk                                                                                                                                                                                                                                               ,OPL
1177,MSE     ,221,SURREY    ,42,42,Gary Wang                                                                                                                                                                                                                                                 ,LAB
1167,MSE     ,293,OFF       ,25,2,Stephanie DeRapp                                                                                                                                                                                                                                          ,SEC
1177,MSE     ,293,OFF       ,25,2,Stephanie DeRapp                                                                                                                                                                                                                                          ,SEC
1171,MSE     ,293,SURREY    ,20,20,Stephanie DeRapp                                                                                                                                                                                                                                          ,SEC
1157,MSE     ,494,OFF       ,10,2,"Harriet Chicoine, Stephanie DeRapp                                                                                                                                                                                                                        ",SEC
1181,MSE     ,494,OFF       ,10,0,Stephanie DeRapp                                                                                                                                                                                                                                          ,SEC
1151,MSE     ,110,SURREY    ,30,30,Amr Marzouk                                                                                                                                                                                                                                               ,LEC
1147,MSE     ,110,SURREY    ,30,0,Amr Marzouk                                                                                                                                                                                                                                               ,LAB
1151,MSE     ,110,SURREY    ,30,30,Amr Marzouk                                                                                                                                                                                                                                               ,LEC
1171,MSE     ,251,SURREY    ,108,92,Behraad Bahreyni                                                                                                                                                                                                                                          ,TUT
1151,MSE     ,251,SURREY    ,43,23,Behraad Bahreyni                                                                                                                                                                                                                                          ,LAB
1147,MSE     ,380,SURREY    ,120,116,Kevin Oldknow                                                                                                                                                                                                                                             ,LEC
1161,MATH    ,888,SURREY    ,10,0,. Faculty                                                                                                                                                                                                                                                 ,SEC
1174,MSE     ,490,SURREY    ,35,13,Jiacheng Wang                                                                                                                                                                                                                                             ,LAB
1144,MSE     ,311,SURREY    ,36,35,Behraad Bahreyni                                                                                                                                                                                                                                          ,LAB
1141,MSE     ,223,SURREY    ,115,104,Majid Bahrami                                                                                                                                                                                                                                             ,LEC
1174,MSE     ,312,SURREY    ,120,57,"Krishna Vijayaraghavan, Mehrdad Moallem, Mohammad Narimani, Siamak Arzanpour                                                                                                                                                                              ",TUT
1157,MSE     ,250,SURREY    ,36,39,Ahmad Rad                                                                                                                                                                                                                                                 ,LAB
1151,MSE     ,450,SURREY    ,97,97,Mehrdad Moallem                                                                                                                                                                                                                                           ,TUT
1177,MSE     ,380,SURREY    ,108,95,Flavio Firmani                                                                                                                                                                                                                                            ,LEC
1157,MSE     ,320,SURREY    ,129,101,Gary Wang                                                                                                                                                                                                                                                 ,TUT
1171,CMPT    ,130,SURREY    ,23,24,John Edgar                                                                                                                                                                                                                                                ,LAB
1171,CMPT    ,130,SURREY    ,24,18,John Edgar                                                                                                                                                                                                                                                ,LAB
1081,IAT     ,102,SURREY    ,24,24,. TBD                                                                                                                                                                                                                                                     ,TUT
1091,IAT     ,102,SURREY    ,24,24,Yin Wu                                                                                                                                                                                                                                                    ,STL
1107,ENSC    ,381,SURREY    ,75,45,Ahmad Rad                                                                                                                                                                                                                                                 ,LEC
1107,CMPT    ,767,BURNABY   ,15,13,Torsten Moller                                                                                                                                                                                                                                            ,LEC
1177,ENSC    ,120,BURNABY   ,30,0,Atousa Hajshirmohammadi                                                                                                                                                                                                                                   ,LAB
1177,MSE     ,793,OFF       ,5,0,Harriet Chicoine                                                                                                                                                                                                                                          ,PRA
1081,TECH    ,101W      ,SURREY    ,48,24,James Phillips                                                                                                                                                                                                                                            ,INS
1081,TECH    ,101W      ,SURREY    ,48,51,James Phillips                                                                                                                                                                                                                                            ,INS
1171,CMPT    ,733,BURNABY   ,20,20,"Apala Guha, Jiannan Wang                                                                                                                                                                                                                                  ",LAB
1181,CMPT    ,733,BURNABY   ,27,27,"Apala Guha, Jiannan Wang, Steven Bergner                                                                                                                                                                                                                  ",LAB
1177,MSE     ,900,SURREY    ,15,15,Bruce Fingarson                                                                                                                                                                                                                                           ,SEM
1171,CMPT    ,129,BURNABY   ,25,15,Janice Regan                                                                                                                                                                                                                                              ,LAB
1171,CMPT    ,129,BURNABY   ,25,26,Janice Regan                                                                                                                                                                                                                                              ,LAB
1177,ENSC    ,120,BURNABY   ,30,30,Atousa Hajshirmohammadi                                                                                                                                                                                                                                   ,LAB
1177,CMPT    ,127,BURNABY   ,64,64,Richard Vaughan                                                                                                                                                                                                                                           ,LAB
1177,CMPT    ,127,BURNABY   ,64,47,Richard Vaughan                                                                                                                                                                                                                                           ,LAB
1147,CMPT    ,127,BURNABY   ,64,60,Richard Vaughan                                                                                                                                                                                                                                           ,LAB
1181,CMPT    ,733,BURNABY   ,27,24,"Jiannan Wang, Steven Bergner                                                                                                                                                                                                                              ",LAB
1147,CMPT    ,127,BURNABY   ,64,61,Richard Vaughan                                                                                                                                                                                                                                           ,LAB
1154,MSE     ,425,SURREY    ,35,22,Woo Soo Kim                                                                                                                                                                                                                                               ,LAB
1164,MSE     ,405W      ,SURREY    ,115,105,Maureen Hindy                                                                                                                                                                                                                                             ,LEC
1127,CMPT    ,166,SURREY    ,110,106,Toby Donaldson                                                                                                                                                                                                                                            ,LEC
1157,CMPT    ,106,SURREY    ,26,26,Harinder Khangura                                                                                                                                                                                                                                         ,LAB
1164,ENSC    ,280,BURNABY   ,50,48,Atousa Hajshirmohammadi                                                                                                                                                                                                                                   ,LAB
1151,MATH    ,402W      ,SURREY    ,25,3,Tamon Stephen                                                                                                                                                                                                                                             ,LEC
1127,MACM    ,204,BURNABY   ,40,27,Michael Monagan                                                                                                                                                                                                                                           ,LEC
1167,MACM    ,204,BURNABY   ,20,19,Michael Monagan                                                                                                                                                                                                                                           ,LAB
1127,ENSC    ,104,SURREY    ,27,26,". TBD, Krishna Vijayaraghavan                                                                                                                                                                                                                             ",LAB
1147,CMPT    ,106,SURREY    ,15,11,Harinder Khangura                                                                                                                                                                                                                                         ,LAB
1177,ENSC    ,470,BURNABY   ,20,19,Glenn Chapman                                                                                                                                                                                                                                             ,LAB
1151,MSE     ,410,SURREY    ,32,0,Farid Golnaraghi                                                                                                                                                                                                                                          ,OPL
1141,MSE     ,410,SURREY    ,24,0,Farid Golnaraghi                                                                                                                                                                                                                                          ,LAB
1131,ENSC    ,432,SURREY    ,35,44,Kevin Oldknow                                                                                                                                                                                                                                             ,LEC
1131,ENSC    ,436,SURREY    ,38,32,Siamak Arzanpour                                                                                                                                                                                                                                          ,TUT
1161,CMPT    ,626,OFF       ,15,0,Harriet Chicoine                                                                                                                                                                                                                                          ,PRA
